siparis_no,tarih,musteri_id,sehir,kategori,urun_adi,adet,birim_fiyat,tutar,odeme_yontemi,durum
S10914,2026-06-08,M0109,İzmir,Elektronik,Kablosuz Kulaklık,2,1299,2598,Havale/EFT,Tamamlandı
S10914,2026-06-08,M0109,İzmir,Spor,Yoga Matı,1,399,399,Havale/EFT,Tamamlandı
S10915,2026-06-08,M0557,Bursa,Spor,Yoga Matı,1,399,399,Banka Kartı,Tamamlandı
S10916,2026-06-08,M0857,Ankara,Giyim,Mont,1,2299,2299,Kredi Kartı,Tamamlandı
S10917,2026-06-08,M0701,Ankara,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S10917,2026-06-08,M0701,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,229,Havale/EFT,Tamamlandı
S10918,2026-06-08,M0087,Adana,Ev Yaşam,Termos,2,449,898,Banka Kartı,Tamamlandı
S10919,2026-06-08,M0684,Bursa,Kitap,Roman,1,189,189,Banka Kartı,Tamamlandı
S10920,2026-06-08,M0272,Antalya,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Banka Kartı,Tamamlandı
S10921,2026-06-09,M0328,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S10921,2026-06-09,M0328,İstanbul,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10922,2026-06-09,M0786,Ankara,Kozmetik,Nemlendirici Krem,2,399,798,Kredi Kartı,Tamamlandı
S10923,2026-06-09,M0822,Konya,Ev Yaşam,Termos,1,449,449,Kapıda Ödeme,Tamamlandı
S10924,2026-06-10,M0733,Ankara,Kozmetik,Şampuan,1,159,0,Banka Kartı,İade
S10924,2026-06-10,M0733,Ankara,Kitap,Roman,1,189,189,Banka Kartı,Tamamlandı
S10925,2026-06-10,M0113,İstanbul,Spor,Dambıl Seti,1,1249,1249,Kredi Kartı,Tamamlandı
S10925,2026-06-10,M0113,İstanbul,Spor,Koşu Bandı,3,18999,56997,Kredi Kartı,Tamamlandı
S10926,2026-06-10,M0848,İstanbul,Kozmetik,Parfüm,2,1599,3198,Banka Kartı,Tamamlandı
S10927,2026-06-10,M0435,Ankara,Elektronik,Tablet,3,8999,26997,Banka Kartı,Tamamlandı
S10927,2026-06-10,M0435,Ankara,Giyim,Kot Pantolon,1,899,899,Banka Kartı,Tamamlandı
S10928,2026-06-10,M0834,Ankara,Elektronik,Bluetooth Hoparlör,3,1799,5397,Havale/EFT,Tamamlandı
S10929,2026-06-10,M0740,Ankara,Giyim,Kot Pantolon,3,899,2697,Havale/EFT,Tamamlandı
S10929,2026-06-10,M0740,Ankara,Kozmetik,Şampuan,1,159,159,Havale/EFT,Tamamlandı
S10930,2026-06-11,M0697,Konya,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10930,2026-06-11,M0697,Konya,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10931,2026-06-11,M0129,Bursa,Giyim,Kazak,4,749,2996,Kredi Kartı,Tamamlandı
S10932,2026-06-11,M0080,Antalya,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10933,2026-06-11,M0663,Ankara,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10934,2026-06-11,M0167,İzmir,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10935,2026-06-11,M0034,İstanbul,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Kredi Kartı,Tamamlandı
S10936,2026-06-11,M0096,Konya,Giyim,Mont,1,2299,2299,Kredi Kartı,Tamamlandı
S10937,2026-06-12,M0720,Bursa,Ev Yaşam,Termos,2,449,0,Kredi Kartı,İade
S10937,2026-06-12,M0720,Bursa,Spor,Dambıl Seti,2,1249,2498,Kredi Kartı,Tamamlandı
S10938,2026-06-12,M0166,İstanbul,Elektronik,Tablet,3,8999,26997,Kredi Kartı,Tamamlandı
S10938,2026-06-12,M0166,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10939,2026-06-12,M0529,Trabzon,Kozmetik,Nemlendirici Krem,1,399,399,Banka Kartı,Tamamlandı
S10940,2026-06-12,M0639,Adana,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10940,2026-06-12,M0639,Adana,Elektronik,Mekanik Klavye,2,2499,4998,Kredi Kartı,Tamamlandı
S10941,2026-06-12,M0825,İstanbul,Spor,Dambıl Seti,3,1249,3747,Havale/EFT,Tamamlandı
S10942,2026-06-12,M0466,İstanbul,Giyim,Mont,1,2299,2299,Kapıda Ödeme,Tamamlandı
S10943,2026-06-13,M0791,Ankara,Kozmetik,Nemlendirici Krem,3,399,1197,Kapıda Ödeme,Tamamlandı
S10943,2026-06-13,M0791,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kapıda Ödeme,Tamamlandı
S10943,2026-06-13,M0791,Ankara,Giyim,Spor Ayakkabı,2,1899,3798,Kapıda Ödeme,Tamamlandı
S10944,2026-06-13,M0525,Adana,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10945,2026-06-13,M0699,İstanbul,Spor,Dambıl Seti,1,1249,1249,Kapıda Ödeme,Tamamlandı
S10946,2026-06-13,M0108,İstanbul,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10947,2026-06-13,M0478,Ankara,Elektronik,Mekanik Klavye,1,2499,2499,Kredi Kartı,Tamamlandı
S10947,2026-06-13,M0478,Ankara,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10948,2026-06-14,M0218,Bursa,Elektronik,Mekanik Klavye,1,2499,2499,Kredi Kartı,Tamamlandı
S10949,2026-06-14,M0328,İzmir,Elektronik,Tablet,2,8999,17998,Kapıda Ödeme,Tamamlandı
S10949,2026-06-14,M0328,İzmir,Elektronik,Mekanik Klavye,1,2499,2499,Kapıda Ödeme,Tamamlandı
S10950,2026-06-14,M0434,İstanbul,Elektronik,Akıllı Saat,1,3499,3499,Banka Kartı,Tamamlandı
S10951,2026-06-14,M0893,Ankara,Elektronik,Kablosuz Kulaklık,3,1299,3897,Kredi Kartı,Tamamlandı
S10951,2026-06-14,M0893,Ankara,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10952,2026-06-14,M0494,Ankara,Kozmetik,Nemlendirici Krem,2,399,798,Banka Kartı,Tamamlandı
S10953,2026-06-14,M0011,İzmir,Kozmetik,Şampuan,1,159,159,Havale/EFT,Tamamlandı
S10954,2026-06-14,M0844,Konya,Giyim,Kot Pantolon,1,899,899,Banka Kartı,Tamamlandı
S10954,2026-06-14,M0844,Konya,Spor,Yoga Matı,4,399,1596,Banka Kartı,Tamamlandı
S10955,2026-06-14,M0534,Bursa,Spor,Dambıl Seti,2,1249,2498,Kapıda Ödeme,Tamamlandı
S10955,2026-06-14,M0534,Bursa,Elektronik,Tablet,1,8999,8999,Kapıda Ödeme,Tamamlandı
S10955,2026-06-14,M0534,Bursa,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10956,2026-06-15,M0196,Trabzon,Spor,Yoga Matı,3,399,1197,Banka Kartı,Tamamlandı
S10957,2026-06-15,M0889,İstanbul,Giyim,Mont,2,2299,4598,Kredi Kartı,Tamamlandı
S10957,2026-06-15,M0889,İstanbul,Kitap,Kişisel Gelişim Kitabı,3,229,687,Kredi Kartı,Tamamlandı
S10957,2026-06-15,M0889,İstanbul,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10958,2026-06-15,M0292,Adana,Giyim,Spor Ayakkabı,3,1899,5697,Banka Kartı,Tamamlandı
S10959,2026-06-15,M0090,Antalya,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10959,2026-06-15,M0090,Antalya,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10960,2026-06-15,M0034,Bursa,Kozmetik,Şampuan,1,159,159,Havale/EFT,Tamamlandı
S10961,2026-06-15,M0128,Ankara,Kitap,Kişisel Gelişim Kitabı,2,229,458,Havale/EFT,Tamamlandı
S10962,2026-06-15,M0384,Antalya,Kozmetik,Nemlendirici Krem,3,399,1197,Kredi Kartı,Tamamlandı
S10963,2026-06-15,M0690,İstanbul,Elektronik,Mekanik Klavye,1,2499,2499,Kapıda Ödeme,Tamamlandı
S10964,2026-06-16,M0344,İstanbul,Ev Yaşam,Nevresim Takımı,1,1149,1149,Banka Kartı,Tamamlandı
S10965,2026-06-16,M0053,Antalya,Kozmetik,Güneş Kremi,1,459,459,Banka Kartı,Tamamlandı
S10966,2026-06-16,M0530,İstanbul,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10966,2026-06-16,M0530,İstanbul,Kozmetik,Güneş Kremi,2,459,918,Kredi Kartı,Tamamlandı
S10967,2026-06-16,M0331,İstanbul,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10968,2026-06-16,M0081,İzmir,Kitap,Kişisel Gelişim Kitabı,2,229,458,Kredi Kartı,Tamamlandı
S10968,2026-06-16,M0081,İzmir,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10969,2026-06-16,M0744,Antalya,Kozmetik,Nemlendirici Krem,3,399,1197,Havale/EFT,Tamamlandı
S10969,2026-06-16,M0744,Antalya,Kozmetik,Şampuan,1,159,159,Havale/EFT,Tamamlandı
S10970,2026-06-16,M0611,İstanbul,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kredi Kartı,Tamamlandı
S10971,2026-06-17,M0213,Ankara,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Kredi Kartı,Tamamlandı
S10972,2026-06-17,M0385,Adana,Elektronik,Akıllı Saat,3,3499,10497,Banka Kartı,Tamamlandı
S10973,2026-06-17,M0647,İzmir,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10973,2026-06-17,M0647,İzmir,Elektronik,Tablet,3,8999,26997,Kredi Kartı,Tamamlandı
S10973,2026-06-17,M0647,İzmir,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10974,2026-06-17,M0888,Ankara,Elektronik,Kablosuz Kulaklık,2,1299,2598,Havale/EFT,Tamamlandı
S10975,2026-06-17,M0281,Ankara,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kapıda Ödeme,Tamamlandı
S10976,2026-06-18,M0198,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10976,2026-06-18,M0198,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10977,2026-06-18,M0444,Adana,Spor,Dambıl Seti,1,1249,1249,Kredi Kartı,Tamamlandı
S10977,2026-06-18,M0444,Adana,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S10978,2026-06-18,M0172,Adana,Giyim,Spor Ayakkabı,3,1899,5697,Kapıda Ödeme,Tamamlandı
S10979,2026-06-18,M0544,Ankara,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10980,2026-06-18,M0673,Ankara,Elektronik,Oyuncu Mouse,2,899,1798,Kredi Kartı,Tamamlandı
S10981,2026-06-19,M0582,Antalya,Giyim,Spor Ayakkabı,1,1899,1899,Havale/EFT,Tamamlandı
S10982,2026-06-19,M0285,Bursa,Kozmetik,Şampuan,2,159,318,Kapıda Ödeme,Tamamlandı
S10982,2026-06-19,M0285,Bursa,Ev Yaşam,Tencere Seti,1,3299,3299,Kapıda Ödeme,Tamamlandı
S10983,2026-06-19,M0506,Ankara,Elektronik,Mekanik Klavye,1,2499,2499,Kapıda Ödeme,Tamamlandı
S10984,2026-06-19,M0591,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10984,2026-06-19,M0591,İstanbul,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10985,2026-06-19,M0346,İzmir,Spor,Dambıl Seti,1,1249,1249,Kredi Kartı,Tamamlandı
S10986,2026-06-19,M0410,İstanbul,Elektronik,Akıllı Saat,4,3499,13996,Havale/EFT,Tamamlandı
S10987,2026-06-20,M0864,Ankara,Elektronik,Kablosuz Kulaklık,1,1299,1299,Banka Kartı,Tamamlandı
S10988,2026-06-20,M0705,Bursa,Kozmetik,Güneş Kremi,2,459,918,Kredi Kartı,Tamamlandı
S10989,2026-06-20,M0006,Konya,Spor,Yoga Matı,3,399,1197,Havale/EFT,Tamamlandı
S10990,2026-06-20,M0338,Bursa,Kozmetik,Güneş Kremi,1,459,459,Havale/EFT,Tamamlandı
S10991,2026-06-20,M0327,Adana,Kitap,Kişisel Gelişim Kitabı,1,229,229,Havale/EFT,Tamamlandı
S10991,2026-06-20,M0327,Adana,Ev Yaşam,Termos,2,449,898,Havale/EFT,Tamamlandı
S10992,2026-06-20,M0330,Antalya,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10993,2026-06-20,M0249,Bursa,Elektronik,Oyuncu Kulaklığı,1,1899,0,Banka Kartı,İade
S10994,2026-06-21,M0222,Ankara,Giyim,Kazak,2,749,1498,Kredi Kartı,Tamamlandı
S10995,2026-06-21,M0321,Antalya,Elektronik,Bluetooth Hoparlör,3,1799,5397,Kredi Kartı,Tamamlandı
S10996,2026-06-21,M0373,Ankara,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10996,2026-06-21,M0373,Ankara,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10997,2026-06-21,M0473,Adana,Kitap,Roman,1,189,189,Banka Kartı,Tamamlandı
S10998,2026-06-21,M0464,Ankara,Giyim,Mont,1,2299,2299,Kredi Kartı,Tamamlandı
S10999,2026-06-21,M0342,İstanbul,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S11000,2026-06-22,M0543,İzmir,Elektronik,Mekanik Klavye,1,2499,2499,Kredi Kartı,Tamamlandı
S11001,2026-06-22,M0037,İzmir,Giyim,Kazak,2,749,1498,Kredi Kartı,Tamamlandı
S11002,2026-06-22,M0403,İstanbul,Giyim,Mont,2,2299,4598,Banka Kartı,Tamamlandı
S11002,2026-06-22,M0403,İstanbul,Giyim,Tişört,2,349,698,Banka Kartı,Tamamlandı
S11003,2026-06-22,M0516,Adana,Spor,Dambıl Seti,1,1249,1249,Banka Kartı,Tamamlandı
S11003,2026-06-22,M0516,Adana,Elektronik,Akıllı Saat,1,3499,3499,Banka Kartı,Tamamlandı
S11004,2026-06-22,M0683,Ankara,Giyim,Kot Pantolon,2,899,1798,Kredi Kartı,Tamamlandı
S11005,2026-06-23,M0609,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,0,Kredi Kartı,İade
S11006,2026-06-23,M0697,Trabzon,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S11007,2026-06-23,M0754,Ankara,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S11008,2026-06-23,M0848,Ankara,Kozmetik,Güneş Kremi,3,459,1377,Banka Kartı,Tamamlandı
S11008,2026-06-23,M0848,Ankara,Elektronik,Oyuncu Mouse,2,899,0,Banka Kartı,İade
S11009,2026-06-23,M0421,Adana,Ev Yaşam,Nevresim Takımı,2,1149,2298,Banka Kartı,Tamamlandı
S11010,2026-06-23,M0369,İstanbul,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S11010,2026-06-23,M0369,İstanbul,Ev Yaşam,Tencere Seti,4,3299,13196,Kredi Kartı,Tamamlandı
S11010,2026-06-23,M0369,İstanbul,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Kredi Kartı,Tamamlandı
S11011,2026-06-23,M0604,Ankara,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kapıda Ödeme,Tamamlandı
S11012,2026-06-23,M0444,Antalya,Giyim,Kot Pantolon,1,899,899,Banka Kartı,Tamamlandı
S11012,2026-06-23,M0444,Antalya,Elektronik,Oyuncu Mouse,1,899,899,Banka Kartı,Tamamlandı
S11013,2026-06-24,M0499,İstanbul,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S11014,2026-06-24,M0314,İstanbul,Elektronik,Kablosuz Kulaklık,3,1299,3897,Kredi Kartı,Tamamlandı
S11014,2026-06-24,M0314,İstanbul,Ev Yaşam,Tencere Seti,1,3299,3299,Kredi Kartı,Tamamlandı
S11015,2026-06-24,M0731,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kapıda Ödeme,Tamamlandı
S11016,2026-06-24,M0364,İstanbul,Giyim,Kazak,3,749,2247,Banka Kartı,Tamamlandı
S11017,2026-06-24,M0612,İstanbul,Giyim,Tişört,2,349,698,Banka Kartı,Tamamlandı
S11017,2026-06-24,M0612,İstanbul,Elektronik,Bluetooth Hoparlör,1,1799,1799,Banka Kartı,Tamamlandı
S11018,2026-06-24,M0581,Konya,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S11019,2026-06-25,M0711,İstanbul,Ev Yaşam,Termos,1,449,449,Kapıda Ödeme,Tamamlandı
S11019,2026-06-25,M0711,İstanbul,Elektronik,Bluetooth Hoparlör,3,1799,5397,Kapıda Ödeme,Tamamlandı
S11020,2026-06-25,M0774,İstanbul,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kapıda Ödeme,Tamamlandı
S11020,2026-06-25,M0774,İstanbul,Kitap,Roman,2,189,378,Kapıda Ödeme,Tamamlandı
S11021,2026-06-25,M0687,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Havale/EFT,Tamamlandı
S11021,2026-06-25,M0687,İstanbul,Kozmetik,Nemlendirici Krem,1,399,399,Havale/EFT,Tamamlandı
S11022,2026-06-25,M0494,Bursa,Ev Yaşam,Termos,2,449,898,Havale/EFT,Tamamlandı
S11023,2026-06-25,M0529,İstanbul,Giyim,Spor Ayakkabı,2,1899,3798,Banka Kartı,Tamamlandı
S11024,2026-06-25,M0319,Bursa,Kozmetik,Parfüm,1,1599,1599,Kapıda Ödeme,Tamamlandı
S11024,2026-06-25,M0319,Bursa,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kapıda Ödeme,Tamamlandı
S11025,2026-06-26,M0401,İstanbul,Kitap,Çocuk Kitabı,2,149,298,Kredi Kartı,Tamamlandı
S11026,2026-06-26,M0842,İzmir,Elektronik,Mekanik Klavye,1,2499,2499,Kredi Kartı,Tamamlandı
S11026,2026-06-26,M0842,İzmir,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S11027,2026-06-26,M0206,Ankara,Kitap,Kişisel Gelişim Kitabı,2,229,458,Kredi Kartı,Tamamlandı
S11027,2026-06-26,M0206,Ankara,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S11028,2026-06-26,M0029,İstanbul,Ev Yaşam,Kahve Makinesi,2,2199,4398,Kredi Kartı,Tamamlandı
S11029,2026-06-26,M0456,İstanbul,Ev Yaşam,Masa Lambası,1,649,649,Kapıda Ödeme,Tamamlandı
S11029,2026-06-26,M0456,İstanbul,Giyim,Kazak,1,749,749,Kapıda Ödeme,Tamamlandı
S11029,2026-06-26,M0456,İstanbul,Kozmetik,Nemlendirici Krem,1,399,399,Kapıda Ödeme,Tamamlandı
S11030,2026-06-26,M0361,Bursa,Spor,Yoga Matı,2,399,798,Banka Kartı,Tamamlandı
S11031,2026-06-26,M0404,İstanbul,Kitap,Kişisel Gelişim Kitabı,1,229,229,Havale/EFT,Tamamlandı
S11032,2026-06-26,M0520,Antalya,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S11033,2026-06-27,M0414,İstanbul,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S11033,2026-06-27,M0414,İstanbul,Giyim,Mont,2,2299,4598,Kredi Kartı,Tamamlandı
S11034,2026-06-27,M0815,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Havale/EFT,Tamamlandı
S11035,2026-06-27,M0627,İstanbul,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S11035,2026-06-27,M0627,İstanbul,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S11036,2026-06-27,M0653,İzmir,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S11037,2026-06-27,M0834,İzmir,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Havale/EFT,Tamamlandı
S11038,2026-06-27,M0144,Adana,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S11039,2026-06-27,M0746,İzmir,Ev Yaşam,Termos,1,449,449,Kredi Kartı,Tamamlandı
S11039,2026-06-27,M0746,İzmir,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S11040,2026-06-27,M0386,Adana,Ev Yaşam,Kahve Makinesi,1,2199,2199,Banka Kartı,Tamamlandı
S11041,2026-06-27,M0554,İstanbul,Kitap,Roman,2,189,378,Kredi Kartı,Tamamlandı
S11041,2026-06-27,M0554,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S11041,2026-06-27,M0554,İstanbul,Spor,Koşu Bandı,1,18999,18999,Kredi Kartı,Tamamlandı
S11042,2026-06-28,M0114,İzmir,Kozmetik,Parfüm,1,1599,1599,Kapıda Ödeme,Tamamlandı
S11042,2026-06-28,M0114,İzmir,Kitap,Roman,1,189,189,Kapıda Ödeme,Tamamlandı
S11042,2026-06-28,M0114,İzmir,Giyim,Spor Ayakkabı,3,1899,5697,Kapıda Ödeme,Tamamlandı
S11043,2026-06-28,M0506,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Kapıda Ödeme,Tamamlandı
S11043,2026-06-28,M0506,İstanbul,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kapıda Ödeme,Tamamlandı
S11043,2026-06-28,M0506,İstanbul,Ev Yaşam,Tencere Seti,1,3299,3299,Kapıda Ödeme,Tamamlandı
S11044,2026-06-28,M0037,Ankara,Ev Yaşam,Masa Lambası,3,649,1947,Kredi Kartı,Tamamlandı
S11045,2026-06-28,M0057,İstanbul,Ev Yaşam,Nevresim Takımı,2,1149,0,Havale/EFT,İade
S11046,2026-06-28,M0494,İstanbul,Giyim,Tişört,1,349,349,Havale/EFT,Tamamlandı
S11046,2026-06-28,M0494,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Havale/EFT,Tamamlandı
S11047,2026-06-28,M0448,Konya,Elektronik,Akıllı Saat,2,3499,6998,Kredi Kartı,Tamamlandı
S11048,2026-06-28,M0550,İzmir,Kozmetik,Güneş Kremi,1,459,459,Kapıda Ödeme,Tamamlandı
S11049,2026-06-28,M0185,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S11049,2026-06-28,M0185,İstanbul,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S11050,2026-06-28,M0211,Ankara,Kitap,Roman,2,189,378,Banka Kartı,Tamamlandı
S11051,2026-06-28,M0799,İzmir,Kitap,Roman,1,189,189,Havale/EFT,Tamamlandı
S11052,2026-06-28,M0355,Adana,Giyim,Mont,1,2299,2299,Banka Kartı,Tamamlandı
S11052,2026-06-28,M0355,Adana,Giyim,Spor Ayakkabı,1,1899,1899,Banka Kartı,Tamamlandı
S11053,2026-06-29,M0836,Antalya,Ev Yaşam,Masa Lambası,3,649,0,Kredi Kartı,İade
S11054,2026-06-29,M0857,İstanbul,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S11055,2026-06-29,M0508,İstanbul,Giyim,Mont,2,2299,4598,Kredi Kartı,Tamamlandı
S11056,2026-06-29,M0677,İstanbul,Elektronik,Oyuncu Mouse,3,899,2697,Kredi Kartı,Tamamlandı
S11057,2026-06-29,M0269,Antalya,Giyim,Kazak,1,749,749,Banka Kartı,Tamamlandı
S11057,2026-06-29,M0269,Antalya,Kozmetik,Şampuan,1,159,159,Banka Kartı,Tamamlandı
S11058,2026-06-29,M0398,Konya,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kapıda Ödeme,Tamamlandı
S11059,2026-06-29,M0788,İzmir,Kozmetik,Güneş Kremi,1,459,0,Kredi Kartı,İade
S11060,2026-06-30,M0088,Trabzon,Ev Yaşam,Kahve Makinesi,1,2199,2199,Havale/EFT,Tamamlandı
S11061,2026-06-30,M0257,Antalya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Havale/EFT,Tamamlandı
S11061,2026-06-30,M0257,Antalya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Havale/EFT,Tamamlandı
S11062,2026-06-30,M0368,Ankara,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Havale/EFT,Tamamlandı
S11063,2026-06-30,M0322,Konya,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S11064,2026-06-30,M0179,İstanbul,Elektronik,Kablosuz Kulaklık,2,1299,2598,Banka Kartı,Tamamlandı
S11065,2026-06-30,M0594,İstanbul,Kitap,Çocuk Kitabı,4,149,0,Banka Kartı,İade
S11066,2026-06-30,M0866,Adana,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S11066,2026-06-30,M0866,Adana,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S11067,2026-06-30,M0843,Bursa,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S11068,2026-07-01,M0418,Adana,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S11068,2026-07-01,M0418,Adana,Elektronik,Oyuncu Mouse,1,899,899,Kredi Kartı,Tamamlandı
S11068,2026-07-01,M0418,Adana,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S11069,2026-07-01,M0730,Ankara,Elektronik,Tablet,1,8999,8999,Kredi Kartı,Tamamlandı
S11069,2026-07-01,M0730,Ankara,Elektronik,Kablosuz Kulaklık,3,1299,3897,Kredi Kartı,Tamamlandı
S11070,2026-07-01,M0516,Trabzon,Ev Yaşam,Kahve Makinesi,3,2199,6597,Banka Kartı,Tamamlandı
S11070,2026-07-01,M0516,Trabzon,Ev Yaşam,Masa Lambası,1,649,649,Banka Kartı,Tamamlandı
S11071,2026-07-02,M0250,İstanbul,Giyim,Mont,4,2299,9196,Havale/EFT,Tamamlandı
S11071,2026-07-02,M0250,İstanbul,Ev Yaşam,Tencere Seti,1,3299,3299,Havale/EFT,Tamamlandı
S11071,2026-07-02,M0250,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Havale/EFT,Tamamlandı
S11072,2026-07-02,M0236,Ankara,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S11073,2026-07-02,M0418,Bursa,Spor,Yoga Matı,1,399,399,Banka Kartı,Tamamlandı
S11073,2026-07-02,M0418,Bursa,Ev Yaşam,Kahve Makinesi,1,2199,2199,Banka Kartı,Tamamlandı
S11074,2026-07-02,M0203,Adana,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S11075,2026-07-02,M0761,İstanbul,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S11075,2026-07-02,M0761,İstanbul,Ev Yaşam,Nevresim Takımı,1,1149,1149,Havale/EFT,Tamamlandı
S11076,2026-07-02,M0714,İzmir,Kitap,Çocuk Kitabı,1,149,149,Banka Kartı,Tamamlandı
